variant,moe_backend,prefill_moe_backend,decode_moe_backend,benchmark_harness,reference_config,model_path,total_gpus,precision,tensor_parallelism,expert_parallelism,dp_attention,moe_a2a_backend,dataset_name,isl,osl,random_range_ratio,request_rate,tp_size,max_concurrency,actual_concurrency,num_prompts,completed,duration_s,request_throughput_req_s,input_throughput_tok_s,output_throughput_tok_s,total_throughput_tok_s,token_throughput_per_gpu_tok_s,input_token_throughput_per_gpu_tok_s,output_token_throughput_per_gpu_tok_s,interactivity_tok_s_per_user,target_interactivity_tok_s_per_user,actual_interactivity_tok_s_per_user,mean_e2e_latency_ms,p90_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p90_itl_ms,p99_itl_ms,result_json,benchmark_log,warp_decode_runtime_verified,warp_decode_python_active_markers,warp_decode_cuda_active_markers,warp_decode_fallback_markers
sota,flashinfer_trtllm,flashinfer_trtllm,flashinfer_trtllm,InferenceX,kimik2.5-int4-b200-vllm,moonshotai/Kimi-K2.6,8,INT4,8,1,False,none,random,1024,1024,0.8,inf,8,1,1.0,10,10,62.75852376699913,0.15934090542229082,145.78099437085388,146.81671025609876,292.59770462695263,36.57471307836908,18.222624296356734,18.352088782012345,146.81671025609876,146.81671025609876,146.81671025609876,6275.701442300124,6764.529360400411,6900.210608739544,72.01114299969049,71.35665099849575,76.88477183743089,6.7397505427511675,6.733425669036948,6.767585862624622,6.740211276944625,6.794495500798803,6.824434299778659,6.847669770286302,/workspace/4kernels/kimi_k26_inferencex_budget_context_fixed/sota_isl1024_osl1024_conc1_prompts10.json,/workspace/4kernels/kimi_k26_inferencex_budget_context_fixed/sota_isl1024_osl1024_conc1_prompts10.log,False,0,0,0
sota,flashinfer_trtllm,flashinfer_trtllm,flashinfer_trtllm,InferenceX,kimik2.5-int4-b200-vllm,moonshotai/Kimi-K2.6,8,INT4,8,1,False,none,random,1024,1024,0.8,inf,8,4,4.0,40,40,73.32905659400058,0.5454863577676602,505.5022077432907,500.60646768232596,1006.1086754256166,125.76358442820208,63.187775967911335,62.575808460290745,125.15161692058149,125.15161692058149,125.15161692058149,7100.8764159996645,7785.780034999698,7897.87529418747,85.43702525003027,77.2647469984804,174.69197254078608,7.651850729287387,7.671771813809483,7.757448135423129,7.652719741743525,7.491960997867864,7.545090997882653,7.759992479404899,/workspace/4kernels/kimi_k26_inferencex_budget_context_fixed/sota_isl1024_osl1024_conc4_prompts40.json,/workspace/4kernels/kimi_k26_inferencex_budget_context_fixed/sota_isl1024_osl1024_conc4_prompts40.log,False,0,0,0
warp-decode,flashinfer_kimi_warp_decode,flashinfer_trtllm,flashinfer_kimi_warp_decode,InferenceX,kimik2.5-int4-b200-vllm,moonshotai/Kimi-K2.6,8,INT4,8,1,False,none,random,1024,1024,0.8,inf,8,1,1.0,10,10,114.23153522600114,0.08754150051660885,80.09171882264543,80.66073857600338,160.7524573986488,20.0940571748311,10.011464852830679,10.082592322000423,80.66073857600338,80.66073857600338,80.66073857600338,11422.780035400137,12299.365631599358,12552.51093506049,78.15225420017669,77.55857049960468,83.38290944266191,12.325500458565095,12.335184986572898,12.365659968858871,12.325758580182846,12.328692499067984,12.601912699028617,12.826113831506518,/workspace/4kernels/kimi_k26_inferencex_budget_context_fixed/warp-decode_isl1024_osl1024_conc1_prompts10.json,/workspace/4kernels/kimi_k26_inferencex_budget_context_fixed/warp-decode_isl1024_osl1024_conc1_prompts10.log,True,16,8,16
warp-decode,flashinfer_kimi_warp_decode,flashinfer_trtllm,flashinfer_kimi_warp_decode,InferenceX,kimik2.5-int4-b200-vllm,moonshotai/Kimi-K2.6,8,INT4,8,1,False,none,random,1024,1024,0.8,inf,8,4,4.0,40,40,167.6269624359993,0.23862509597924722,221.13387644396838,218.99221620755463,440.12609265152304,55.01576158144038,27.641734555496047,27.37402702594433,54.74805405188866,54.74805405188866,54.74805405188866,16309.99029887489,17933.93335010005,18193.791565710162,107.41683312517125,95.25756050061318,241.0554170823525,17.673011469828413,17.74321855021641,17.836705082062213,17.67441012353726,17.566799997439375,17.679601000418188,17.814285920612747,/workspace/4kernels/kimi_k26_inferencex_budget_context_fixed/warp-decode_isl1024_osl1024_conc4_prompts40.json,/workspace/4kernels/kimi_k26_inferencex_budget_context_fixed/warp-decode_isl1024_osl1024_conc4_prompts40.log,True,16,8,16
warp-decode-tiled-down,flashinfer_kimi_warp_decode_tiled_down,flashinfer_trtllm,flashinfer_kimi_warp_decode_tiled_down,InferenceX,kimik2.5-int4-b200-vllm,moonshotai/Kimi-K2.6,8,INT4,8,1,False,none,random,1024,1024,0.8,inf,8,1,1.0,10,10,115.57116527800099,0.08652677314402318,79.1633447494668,79.72576877490296,158.88911352436975,19.86113919054622,9.89541809368335,9.96572109686287,79.72576877490296,79.72576877490296,79.72576877490296,11556.916932900276,12482.42637959811,12699.155605861415,78.98641939973459,78.16256899968721,84.83738751972851,12.469733523772863,12.473750822122092,12.505040639966095,12.470589671338587,12.468643501051702,12.758636998478323,12.991385932618869,/workspace/4kernels/kimi_k26_inferencex_budget_context_fixed/warp-decode-tiled-down_isl1024_osl1024_conc1_prompts10.json,/workspace/4kernels/kimi_k26_inferencex_budget_context_fixed/warp-decode-tiled-down_isl1024_osl1024_conc1_prompts10.log,True,16,8,16
warp-decode-tiled-down,flashinfer_kimi_warp_decode_tiled_down,flashinfer_trtllm,flashinfer_kimi_warp_decode_tiled_down,InferenceX,kimik2.5-int4-b200-vllm,moonshotai/Kimi-K2.6,8,INT4,8,1,False,none,random,1024,1024,0.8,inf,8,4,4.0,40,40,169.3168938960007,0.23624340772852323,218.92676594202248,216.80648135765898,435.73324729968147,54.46665591246018,27.36584574275281,27.100810169707373,54.201620339414745,54.201620339414745,54.201620339414745,16474.810829099988,18096.46234719912,18384.810202759,102.04531175013472,95.92095200059703,175.76961464073972,17.858494477947886,17.937764645778433,18.018519887914373,17.860062329324574,17.755447999661556,17.864128199289553,18.007457519561285,/workspace/4kernels/kimi_k26_inferencex_budget_context_fixed/warp-decode-tiled-down_isl1024_osl1024_conc4_prompts40.json,/workspace/4kernels/kimi_k26_inferencex_budget_context_fixed/warp-decode-tiled-down_isl1024_osl1024_conc4_prompts40.log,True,16,8,16
