variant,moe_backend,prefill_moe_backend,decode_moe_backend,benchmark_harness,reference_config,model_path,total_gpus,precision,tensor_parallelism,expert_parallelism,dp_attention,moe_a2a_backend,dataset_name,isl,osl,random_range_ratio,request_rate,tp_size,max_concurrency,actual_concurrency,num_prompts,completed,duration_s,request_throughput_req_s,input_throughput_tok_s,output_throughput_tok_s,total_throughput_tok_s,token_throughput_per_gpu_tok_s,input_token_throughput_per_gpu_tok_s,output_token_throughput_per_gpu_tok_s,interactivity_tok_s_per_user,target_interactivity_tok_s_per_user,actual_interactivity_tok_s_per_user,mean_e2e_latency_ms,p90_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p90_itl_ms,p99_itl_ms,result_json,benchmark_log
sota,flashinfer_trtllm,flashinfer_trtllm,flashinfer_trtllm,InferenceX,kimik2.5-int4-b200-vllm,moonshotai/Kimi-K2.6,8,INT4,8,1,False,none,random,1024,1024,0.8,inf,8,1,1.0,10,10,66.14970347499911,0.15117225739007947,138.3074982861837,139.29011795921923,277.5976162454029,34.69970203067536,17.28843728577296,17.411264744902404,139.29011795921923,139.29011795921923,139.29011795921923,6614.666572500209,7129.792277899287,7269.714074690073,71.85091440060205,70.93311950029602,75.41487926071568,7.108213226162933,7.100827547377008,7.135238918093083,7.108665620491078,7.1642179991613375,7.193133998771373,7.21627363067455,/workspace/4kernels/kimi_k26_inferencex_budget/sota_isl1024_osl1024_conc1_prompts10.json,/workspace/4kernels/kimi_k26_inferencex_budget/sota_isl1024_osl1024_conc1_prompts10.log
sota,flashinfer_trtllm,flashinfer_trtllm,flashinfer_trtllm,InferenceX,kimik2.5-int4-b200-vllm,moonshotai/Kimi-K2.6,8,INT4,8,1,False,none,random,1024,1024,0.8,inf,8,4,4.0,40,40,76.42733117599892,0.5233729790706275,485.00973970475053,480.31246721759163,965.3222069223422,120.66527586529277,60.626217463093816,60.039058402198954,120.07811680439791,120.07811680439791,120.07811680439791,7395.59409642502,8110.628459698637,8221.167976970173,85.28740047490828,74.6458365010767,174.96180089008703,7.973745234098445,7.9818048139396085,8.128699954132635,7.97437274531638,7.803008000337286,7.852377000745037,7.959937279811129,/workspace/4kernels/kimi_k26_inferencex_budget/sota_isl1024_osl1024_conc4_prompts40.json,/workspace/4kernels/kimi_k26_inferencex_budget/sota_isl1024_osl1024_conc4_prompts40.log
warp-decode,flashinfer_kimi_warp_decode,flashinfer_trtllm,flashinfer_kimi_warp_decode,InferenceX,kimik2.5-int4-b200-vllm,moonshotai/Kimi-K2.6,8,INT4,8,1,False,none,random,1024,1024,0.8,inf,8,1,1.0,10,10,66.03573250499903,0.15143316535851223,138.54620298650283,139.53051856133317,278.07672154783603,34.759590193479504,17.318275373312854,17.441314820166646,139.53051856133317,139.53051856133317,139.53051856133317,6603.425675100152,7114.7554039998795,7259.297344399965,71.71794650039374,71.29806900047697,76.10102165117496,7.09615675738119,7.0891504231373705,7.1248505375412945,7.096597017166454,7.151449999582837,7.184105999112944,7.2058775309960765,/workspace/4kernels/kimi_k26_inferencex_budget/warp-decode_isl1024_osl1024_conc1_prompts10.json,/workspace/4kernels/kimi_k26_inferencex_budget/warp-decode_isl1024_osl1024_conc1_prompts10.log
warp-decode,flashinfer_kimi_warp_decode,flashinfer_trtllm,flashinfer_kimi_warp_decode,InferenceX,kimik2.5-int4-b200-vllm,moonshotai/Kimi-K2.6,8,INT4,8,1,False,none,random,1024,1024,0.8,inf,8,4,4.0,40,40,76.28425676500046,0.5243545876473974,485.91939637284315,481.2133139487077,967.1327103215508,120.89158879019385,60.739924546605394,60.15166424358846,120.30332848717693,120.30332848717693,120.30332848717693,7390.243841399933,8119.634454999323,8273.563732249931,91.83264320008675,74.73296399984974,263.0012477800483,7.961103414456546,7.979881757508259,8.076477673811668,7.961396729062714,7.805817998814746,7.847178998781601,7.958251120362547,/workspace/4kernels/kimi_k26_inferencex_budget/warp-decode_isl1024_osl1024_conc4_prompts40.json,/workspace/4kernels/kimi_k26_inferencex_budget/warp-decode_isl1024_osl1024_conc4_prompts40.log
warp-decode-tiled-down,flashinfer_kimi_warp_decode_tiled_down,flashinfer_trtllm,flashinfer_kimi_warp_decode_tiled_down,InferenceX,kimik2.5-int4-b200-vllm,moonshotai/Kimi-K2.6,8,INT4,8,1,False,none,random,1024,1024,0.8,inf,8,1,1.0,10,10,66.02079699999922,0.1514674232121148,138.5775454967638,139.56208374764256,278.13962924440636,34.767453655550796,17.322193187095476,17.44526046845532,139.56208374764256,139.56208374764256,139.56208374764256,6601.818073799768,7114.63608910035,7257.329675110541,71.95798939974338,71.39755599928321,75.85011556902828,7.094165517575651,7.086913279663616,7.121169043390235,7.094589700564792,7.148920499275846,7.183937899026205,7.211095579059474,/workspace/4kernels/kimi_k26_inferencex_budget/warp-decode-tiled-down_isl1024_osl1024_conc1_prompts10.json,/workspace/4kernels/kimi_k26_inferencex_budget/warp-decode-tiled-down_isl1024_osl1024_conc1_prompts10.log
warp-decode-tiled-down,flashinfer_kimi_warp_decode_tiled_down,flashinfer_trtllm,flashinfer_kimi_warp_decode_tiled_down,InferenceX,kimik2.5-int4-b200-vllm,moonshotai/Kimi-K2.6,8,INT4,8,1,False,none,random,1024,1024,0.8,inf,8,4,4.0,40,40,76.26633965499968,0.5244777733000561,486.033552517162,481.32636450179393,967.3599170189559,120.91998962736949,60.75419406464525,60.16579556272424,120.33159112544848,120.33159112544848,120.33159112544848,7388.093545499896,8113.446415199542,8226.59584614079,83.08755620000738,74.76651949946245,177.64001827972606,7.9680741126758745,7.98115892704341,8.076958266159226,7.968590481932924,7.810946999597945,7.852050399014843,8.025471599321463,/workspace/4kernels/kimi_k26_inferencex_budget/warp-decode-tiled-down_isl1024_osl1024_conc4_prompts40.json,/workspace/4kernels/kimi_k26_inferencex_budget/warp-decode-tiled-down_isl1024_osl1024_conc4_prompts40.log
